Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
429,618119,不可思异,111908796.0,289665,3474915,32,
430,605823,生化危机5：惩罚,110591195.0,200882,2761991,40,3.0
431,628463,不惧风暴,110414576.0,266171,3516258,31,
432,593838,亲密敌人,110370848.0,124836,3099523,35,
433,631828,分歧者2：绝地反击,110142634.0,182409,2951879,37,
434,361634,木乃伊3：龙帝之墓,110000000.0,1,0,0,
435,391076,终结者2018,109576030.0,122912,3628468,30,
436,626697,魔警,108329892.0,228208,3481145,31,
437,559593,游龙戏凤,108135363.0,90732,3291366,32,
438,596122,二次曝光,107386074.0,178717,3281897,32,
439,653289,航海王之黄金城,107333520.0,339525,3967723,27,
440,643759,猎神：冬日之战,106321927.0,294195,3215187,33,
441,589209,铜雀台,106067683.0,170182,3302262,32,0.0
442,321264,达芬奇密码,105830000.0,0,0,0,
443,623004,空中营救,105307272.0,244855,3402547,30,
444,681,霍元甲,105006877.0,134,2859,36728,
445,369135,珍珠港,105000470.0,9,28,3750016,
446,1363,疯狂的赛车,104958936.0,96167,3529376,29,
447,491203,夺命深渊,103789565.0,108391,2519983,41,
